id,name,englishName,level,implementation,declaredTarget,status,expectedSemantics,expectedCapabilities,semanticGaps,unprovenCapabilities,runtimeSpecializations,runtimeReferences,directTests
"continual-flame","不灭明焰","Continual Flame","2","audited-activity","full","verified-full","","light-source | object-enchantment | dispel-state","","","light-source | object-enchantment | dispel-state","src/rulesets/dnd5e/spellMaterials.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"control-water","操控水体","Control Water","4","audited-activity","partial","partial","saving-throw | half-on-save | damage | concentration | area | turn-trigger | movement","mode-choice | terrain-geometry | environment-state","原文要求 half-on-save，Activity 及专用运行时均无完整证据 | 原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 area，Activity 及专用运行时均无完整证据 | 原文要求 turn-trigger，Activity 及专用运行时均无完整证据 | 原文要求 movement，Activity 及专用运行时均无完整证据","mode-choice | terrain-geometry","","","src/lib/dnd5eActionIcons.test.ts"
"control-weather","操控天气","Control Weather","8","audited-activity","partial","partial","concentration","mode-choice | environment-state | dm-initial-state","原文要求 concentration，Activity 及专用运行时均无完整证据","mode-choice","","",""
"counterspell","法术反制","Counterspell","3","core-transaction","full","verified-full","slot-scaling","","","","slot-scaling","src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/inventoryReactionSpells.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/ReactionInterruptPanels.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/inventoryReactionSpells.test.ts | src/rulesets/dnd5e/magicItems.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/pluginApi.test.ts | src/rulesets/dnd5e/postSpellRandomTable.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"create-food-and-water","造粮术","Create Food and Water","3","audited-activity","full","verified-full","","item-generation | inventory-effect","","","","","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"create-undead","唤起死灵","Create Undead","6","audited-activity","partial","partial","sustained-control | slot-scaling","summon-companion | material-targeting | dm-creature-choice","原文要求 sustained-control，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","","","",""
"create-or-destroy-water","造水/枯水术","Create or Destroy Water","1","audited-activity","partial","partial","area | slot-scaling","mode-choice | world-object | terrain-geometry","原文要求 area，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","mode-choice | world-object | terrain-geometry","","","src/lib/dnd5eActionIcons.test.ts"
"creation","造物术","Creation","5","audited-activity","partial","partial","area | slot-scaling","object-creation | open-ended-object | duration-by-material","原文要求 area，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","","","","src/rulesets/dnd5e/pluginApi.test.ts | src/rulesets/dnd5e/pluginSpellTransaction.test.ts | src/store/syncMerge.test.ts"
"cure-wounds","疗伤术","Cure Wounds","1","core-transaction","full","verified-full","healing | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/magicItems.ts","src/lib/combatStatistics.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/magicItems.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterHitPointMaximumReduction.test.ts | src/rulesets/dnd5e/plugins/pluginItemHeadlessProtocol.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"dancing-lights","舞光术","Dancing Lights","0","core-transaction","full","verified-full","concentration | movement | sustained-control","","","","movement","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/spellAction.ts","src/application/combat/spells/SpellTargetingCoordinator.test.ts | src/components/map/PlayerCombatHotbar.test.ts | src/components/map/PlayerMapSpellHotbar.test.ts | src/lib/classResources.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/explorationSpellInitiative.test.ts | src/lib/playerActionAuthorityRouter.test.ts | src/lib/vfxSequence.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts | src/rulesets/dnd5e/spellbook.test.ts"
"darkness","黑暗术","Darkness","2","core-transaction","full","verified-full","concentration | area","","","","","src/rulesets/dnd5e/activities/dnd5eActivityContracts.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.ts | src/rulesets/dnd5e/activities/dnd5eActivityValidation.ts | src/rulesets/dnd5e/activities/dnd5eEffectContracts.ts | src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/declarativeSubclassAbility.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsters.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/racialAutomation.ts","src/components/map/mapLightingPresentation.test.ts | src/components/map/MapPersistentAreaLayers.test.ts | src/lib/classResources.test.ts | src/lib/combatPresentation.test.ts | src/lib/mapGeometry.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/dmWallOfFireRemoval.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/effectiveVision.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/store/characterTokenPresentation.test.ts | src/store/mapsMigrate.test.ts"
"darkvision","黑暗视觉","Darkvision","2","core-transaction","full","verified-full","","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.ts | src/rulesets/dnd5e/activities/dnd5eActivityValidation.ts | src/rulesets/dnd5e/activities/dnd5eContentDefinitionProjection.ts | src/rulesets/dnd5e/activities/dnd5eEffectContracts.ts | src/rulesets/dnd5e/activities/dnd5ePermanentContentEffects.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/plugins/pluginMechanicsRegistry.ts","src/components/map/combatSpellDamagePresentation.test.ts | src/components/map/mapLightingPresentation.test.ts | src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/effectiveVision.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterStatBlockPaste.test.ts | src/rulesets/dnd5e/specialSenses.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/store/characterTokenPresentation.test.ts"
"daylight","昼明术","Daylight","3","core-transaction","full","verified-full","area","","","","","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts","src/components/map/MapPersistentAreaLayers.test.ts | src/lib/combatPresentation.test.ts | src/lib/mapGeometry.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts"
"death-ward","防死结界","Death Ward","4","core-transaction","full","verified-full","","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterComplexPoisonOnHit.test.ts"
"delayed-blast-fireball","延迟爆裂火球","Delayed Blast Fireball","7","audited-activity","partial","partial","saving-throw | half-on-save | concentration | area | turn-trigger | slot-scaling","persistent-area | damage-accumulator | event-trigger | slot-scaling-gap","原文要求 half-on-save，Activity 及专用运行时均无完整证据","","","",""
"demiplane","创造半位面","Demiplane","8","audited-activity","partial","partial","","cross-scene | door-state | semantic-destination","","","","src/rulesets/dnd5e/spellVisibility.ts",""
"detect-evil-and-good","侦测善恶","Detect Evil and Good","1","audited-activity","full","verified-full","concentration","persistent-sense | typed-target | effect-detection","","","concentration | effect-detection","src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"detect-magic","侦测魔法","Detect Magic","1","audited-activity","full","verified-full","concentration","persistent-sense | effect-detection | metadata-visibility","","","concentration | effect-detection | metadata-visibility","src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"detect-poison-and-disease","侦测毒性和疾病","Detect Poison and Disease","1","audited-activity","full","verified-full","concentration","persistent-sense | effect-detection | typed-target","","","concentration | effect-detection","src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"detect-thoughts","侦测思想","Detect Thoughts","2","audited-activity","partial","partial","saving-throw | concentration | sustained-control","saving-throw | sensor-information | dm-response","","","concentration","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"dimension-door","任意门","Dimension Door","4","audited-activity","partial","partial","damage | movement","teleport | passenger-movement | off-map-destination","","","","","src/lib/dnd5eActionIcons.test.ts"
"disguise-self","易容术","Disguise Self","1","audited-activity","partial","partial","saving-throw","illusory-content | ability-check | dm-interpretation","","","","","src/lib/dnd5eActionIcons.test.ts"
"disintegrate","解离术","Disintegrate","6","core-transaction","full","verified-full","saving-throw | damage | area | slot-scaling","","","","area","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts"
"dispel-evil-and-good","反制善恶","Dispel Evil and Good","5","audited-activity","full","verified-full","saving-throw | spell-attack | concentration | condition","mode-choice | effect-removal | planar-state","","","","","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"dispel-magic","解除魔法","Dispel Magic","3","core-transaction","full","verified-full","slot-scaling","","","","slot-scaling","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/spellAction.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapObjectState.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/pluginApi.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"divination","预言术","Divination","4","none","manual","manual","","dm-response | future-information","","","","src/rulesets/dnd5e/activeEffects.ts | src/rulesets/dnd5e/activities/dnd5eActivityInvocation.ts | src/rulesets/dnd5e/activities/dnd5eActivityValidation.ts | src/rulesets/dnd5e/declarativeSubclassAbility.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellbook.ts | src/rulesets/dnd5e/spellModifierIntents.ts | src/rulesets/dnd5e/subclassSpellcasting.ts","src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"divine-favor","神恩","Divine Favor","1","core-transaction","full","verified-full","damage | concentration","","","","damage","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellAction.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/opportunityAttackAction.test.ts"
"divine-word","圣言术","Divine Word","7","audited-activity","full","verified-full","saving-throw | condition","hit-point-threshold | condition-lifecycle | planar-state","","","hit-point-threshold","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"dominate-beast","支配野兽","Dominate Beast","4","audited-activity","partial","partial","saving-throw | concentration | condition | turn-trigger | slot-scaling","saving-throw | actor-control | semantic-command","","","turn-trigger | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"dominate-monster","支配怪物","Dominate Monster","8","audited-activity","partial","partial","saving-throw | concentration | condition | turn-trigger | slot-scaling","saving-throw | actor-control | semantic-command","","","turn-trigger | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"dominate-person","支配人类","Dominate Person","5","audited-activity","partial","partial","saving-throw | concentration | condition | turn-trigger | slot-scaling","saving-throw | actor-control | semantic-command","","","turn-trigger | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"dream","托梦术","Dream","5","audited-activity","partial","partial","saving-throw | damage","communication | saving-throw | dm-narrative","","communication","","",""
"druidcraft","德鲁伊伎俩","Druidcraft","0","audited-activity","partial","partial","area","mode-choice | minor-world-effect | dm-weather","原文要求 area，Activity 及专用运行时均无完整证据","mode-choice","","",""
"earthquake","地震术","Earthquake","8","audited-activity","partial","partial","saving-throw | half-on-save | damage | concentration | area | condition | turn-trigger","persistent-area | terrain-geometry | structure-damage","","","half-on-save | condition | turn-trigger | terrain-geometry","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/spellCatalog.test.ts"
"eldritch-blast","魔能爆","Eldritch Blast","0","core-transaction","full","verified-full","spell-attack | damage","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/classes.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellModifierIntents.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/classes.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellAdvancement.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"enhance-ability","强化属性","Enhance Ability","2","core-transaction","full","verified-full","concentration | condition | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellAction.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/items.test.ts"
"enlarge-reduce","变巨/缩小术","Enlarge/Reduce","2","core-transaction","full","verified-full","saving-throw | damage | concentration","","","","damage","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellbook.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/checks.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterAttackAction.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"entangle","纠缠术","Entangle","1","core-transaction","full","verified-full","saving-throw | concentration | condition","","","","saving-throw | condition","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/components/map/MapPersistentAreaLayers.test.ts | src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/persistentAreaTypes.test.ts | src/rulesets/dnd5e/playerBasicAction.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"enthrall","注目术","Enthrall","2","audited-activity","full","verified-full","saving-throw | condition","saving-throw | skill-check-modifier | source-link","","","source-link","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"etherealness","以太化","Etherealness","7","audited-activity","partial","partial","slot-scaling","planar-state | movement-mode | effect-suppression | slot-scaling-gap","","planar-state | effect-suppression","","","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"expeditious-retreat","脚底抹油","Expeditious Retreat","1","core-transaction","full","verified-full","concentration | sustained-control","","","","","src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/playerBasicAction.ts | src/rulesets/dnd5e/sustainedSpellControls.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/sustainedSpellControls.test.ts"
"eyebite","摄心目光","Eyebite","6","audited-activity","full","verified-full","saving-throw | concentration | condition | turn-trigger | sustained-control","mode-choice | saving-throw | save-ends","","","","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"fabricate","鬼斧神工","Fabricate","4","audited-activity","partial","partial","area","object-creation | world-material | crafting-judgment","原文要求 area，Activity 及专用运行时均无完整证据","","","src/rulesets/dnd5e/spellVisibility.ts",""
"faerie-fire","妖火","Faerie Fire","1","core-transaction","full","verified-full","concentration | area | condition","","","","","src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellbook.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/lib/classResources.test.ts | src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/localContentCollection.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/subclassSpellLists.test.ts | src/rulesets/dnd5e/visibilityRegression.test.ts"
"faithful-hound","忠犬术","Faithful Hound","4","audited-activity","full","verified-full","damage | condition | turn-trigger","persistent-area | granted-activity | visibility-rule","","","turn-trigger","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"false-life","虚假生命","False Life","1","core-transaction","full","verified-full","slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellAction.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"fear","恐惧术","Fear","3","audited-activity","full","verified-full","saving-throw | concentration | area | condition | sustained-control","saving-throw | forced-movement | condition-lifecycle","","","forced-movement","src/pages/maps/settleDnd5eCombatResult.ts | src/rulesets/dnd5e/classFeatureAction.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/mapBridge.ts","src/rulesets/dnd5e/activeEffectsHeadless.test.ts | src/rulesets/dnd5e/activities/legacyContentActivityAdapters.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"feather-fall","羽落术","Feather Fall","1","audited-activity","full","verified-full","","reaction-trigger | falling-state | movement-rate","","","","","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/pluginSpellTransaction.test.ts | src/rulesets/dnd5e/traversalHeadless.test.ts"
"feeblemind","弱智术","Feeblemind","8","audited-activity","full","verified-full","saving-throw | damage","saving-throw | ability-override | long-term-save","","","ability-override | long-term-save","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/campaignTimeRules.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"find-familiar","获得魔宠","Find Familiar","1","audited-activity","full","verified-full","spell-attack | condition | turn-trigger","summon-companion | form-catalog | shared-senses","","","spell-attack | turn-trigger | form-catalog","src/rulesets/dnd5e/spellMaterials.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"find-steed","召唤坐骑","Find Steed","2","audited-activity","partial","partial","","summon-companion | shared-spells | dm-creature-choice","","","","","src/lib/dnd5eActionIcons.test.ts"
"find-traps","寻找陷阱","Find Traps","2","audited-activity","partial","partial","","world-information | hidden-object-tags | dm-information","","","","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"find-the-path","寻路术","Find the Path","6","audited-activity","partial","partial","concentration","world-navigation | semantic-destination | dm-information","原文要求 concentration，Activity 及专用运行时均无完整证据","","","",""
"finger-of-death","死亡一指","Finger of Death","7","core-transaction","full","verified-full","saving-throw | half-on-save | damage | turn-trigger","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/spellbook.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"fire-bolt","火焰箭","Fire Bolt","0","core-transaction","full","verified-full","spell-attack | damage","","","","","src/pages/maps/spellSettlementCoordinator.ts","src/components/map/PlayerCombatHotbar.test.ts | src/lib/characterExcelImport.test.ts | src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/lib/sharedServerHttp.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/spellAoeHighlight.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffectsHeadless.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/buildChoices.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/eldritchKnight.test.ts | src/rulesets/dnd5e/featHeadlessPrimitives.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterContentAutoParser.test.ts | src/rulesets/dnd5e/monsterContentDeepAnalysis.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsterStatBlockPaste.test.ts | src/rulesets/dnd5e/postSpellRandomTable.test.ts | src/rulesets/dnd5e/protectionFromEnergySpell.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/spellDamageMaxDieBonus.test.ts | src/rulesets/dnd5e/spellModifierIntents.test.ts | src/rulesets/dnd5e/subclassSpellcasting.test.ts"
"fire-shield","火焰护盾","Fire Shield","4","audited-activity","full","verified-full","damage","mode-choice | damage-resistance | damage-reflection","","","","","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/pluginSpellTransaction.test.ts"
"fire-storm","火焰风暴","Fire Storm","7","audited-activity","full","verified-full","saving-throw | half-on-save | damage | area","multi-cell-template | saving-throw | damage","","","","","src/rulesets/dnd5e/pluginSpellTransaction.test.ts"
